experiment,fold,mse,rmse,mae,r2,base_features,tool_features,operation_features,total_features,time_sec
O04_operation_all,5,0.020316110938100748,0.14253459558332057,0.08644066674559547,0.5721274675980051,300,0,90,390,-1.9999970390927047e-07
C01_tool100_operation_mean,1,0.010419159075206104,0.10207428214396663,0.07664900833953865,0.7352820519535005,300,100,14,414,-4.000012268079445e-07
C01_tool100_operation_mean,2,0.0077795992262786355,0.08820203640664219,0.06963693764035832,0.8262393321580676,300,100,15,415,-1.9999970390927047e-07
C01_tool100_operation_mean,3,0.009725184657089611,0.09861635086074526,0.07687898461829237,0.7812154787811147,300,100,15,415,-3.0000046535860747e-07
C01_tool100_operation_mean,4,0.010750624851131232,0.10368522002258196,0.0805690718304117,0.7435235402239915,300,100,15,415,-2.00001522898674e-07
C01_tool100_operation_mean,5,0.021621345683108258,0.14704198612337993,0.08927852578794922,0.5446382450087509,300,100,15,415,-3.0000046535860747e-07
C02_tool100_operation_mean_std,1,0.010635062998842208,0.10312644180248928,0.07883646027064159,0.7297966146713168,300,100,28,428,-2.999986463692039e-07
C02_tool100_operation_mean_std,2,0.0077756030240007015,0.0881793798118398,0.06961482179850724,0.8263285890409028,300,100,30,430,-1.9999970390927047e-07
C02_tool100_operation_mean_std,3,0.009841830992612958,0.09920600280533914,0.07759568839609787,0.7785913216499893,300,100,30,430,-3.9999940781854093e-07
C02_tool100_operation_mean_std,4,0.010991429017038302,0.10484001629644236,0.08119043625779514,0.737778702056314,300,100,30,430,-2.999986463692039e-07
C02_tool100_operation_mean_std,5,0.02135554816494676,0.14613537615836475,0.08832526135591454,0.5502361400757956,300,100,30,430,-1.9999970390927047e-07
C03_tool100_operation_mean_std_range,1,0.010692507725283934,0.10340458270929744,0.07914791312379858,0.7283371254745417,300,100,42,442,-3.0000046535860747e-07
C03_tool100_operation_mean_std_range,2,0.007858218080075413,0.08864659091062337,0.06993167906459632,0.8244833465162171,300,100,45,445,-1.9999970390927047e-07
C03_tool100_operation_mean_std_range,3,0.009768897063870177,0.09883773097289404,0.07751913725671607,0.7802320940613358,300,100,45,445,-3.0000046535860747e-07
C03_tool100_operation_mean_std_range,4,0.011048692531569457,0.10511276103104446,0.08118393694719843,0.7364125727675837,300,100,45,445,-1.9999970390927047e-07
C03_tool100_operation_mean_std_range,5,0.02127373299031122,0.14585517814020596,0.08805716146904677,0.5519592290108224,300,100,45,445,-1.9999970390927047e-07
C04_tool100_operation_all,1,0.010766011001058774,0.10375938994162781,0.07972578560301008,0.7264696392218253,300,100,84,484,-2.00001522898674e-07
C04_tool100_operation_all,2,0.007589711116605752,0.08711894809170823,0.06767103603867741,0.8304805641023235,300,100,90,490,-3.0000046535860747e-07
C04_tool100_operation_all,3,0.009868726983703741,0.09934146658724011,0.07815163261508981,0.7779862507191033,300,100,90,490,-3.9999940781854093e-07
C04_tool100_operation_all,4,0.010968392844612936,0.10473009521915339,0.08132193859857909,0.7383282734563268,300,100,90,490,-1.9999970390927047e-07
C04_tool100_operation_all,5,0.020703793131875963,0.14388812714006657,0.0869744697086348,0.563962589855254,300,100,90,490,-1.00000761449337e-07
C05_tool100_anomaly_operation,1,0.01056966071374424,0.10280885523020009,0.07775788417093013,0.7314582803185845,300,100,42,447,-1.9999970390927047e-07
C05_tool100_anomaly_operation,2,0.007844812761864696,0.08857094761751562,0.0703259172335312,0.8247827600177584,300,100,45,450,-1.9999970390927047e-07
C05_tool100_anomaly_operation,3,0.009919576526823553,0.09959707087471777,0.07811591459139643,0.7768423040139313,300,100,45,450,-1.9999970390927047e-07
