selector,variance_threshold,transform,scaler,reducer,top_k,fold,mse,rmse,mae,r2,n_features,explained_variance,elapsed_sec
extra_trees,0.0,none,none,none,50,3,0.0193328626052234,0.13904266469405496,0.10731138727030283,0.5650744702527744,50,1.0,3.413342799998645
extra_trees,0.0,none,none,none,50,4,0.025644511343229696,0.16013903753685327,0.12297939723357229,0.38820174891460735,50,1.0,3.4573765999994066
extra_trees,0.0,none,none,none,50,5,0.028593394297824853,0.16909581395713158,0.11963995733346203,0.3978016725024437,50,1.0,3.204951699999583
extra_trees,0.0,none,none,none,100,1,0.015624477107518525,0.12499790841257515,0.09222687593792962,0.6030313493298889,100,1.0,3.250235400000747
extra_trees,0.0,none,none,none,100,2,0.01343255744265292,0.11589891044635804,0.0919240611777062,0.6999780985919781,100,1.0,3.2543284999992466
extra_trees,0.0,none,none,none,100,3,0.013877049702046637,0.11780089007323602,0.08979754573590036,0.6878122336957728,100,1.0,3.2071437000013248
extra_trees,0.0,none,none,none,100,4,0.014614113588127428,0.12088884807180283,0.09283600819446139,0.6513527197023359,100,1.0,3.2440634000013233
extra_trees,0.0,none,none,none,100,5,0.022348692319868375,0.14949479027667945,0.09615883817175272,0.5293197793657531,100,1.0,3.2992788999999902
extra_trees,0.0,none,none,none,200,1,0.01121036983115936,0.10587903395460009,0.0812664923013685,0.7151798837961223,200,1.0,3.65031799999997
extra_trees,0.0,none,none,none,200,2,0.009808505216878444,0.09903789788196458,0.07611050800488964,0.7809228512364971,200,1.0,3.9383395000004384
extra_trees,0.0,none,none,none,200,3,0.011474112247009668,0.10711728267189038,0.08245288126244878,0.7418703867444081,200,1.0,4.086411700000099
extra_trees,0.0,none,none,none,200,4,0.012363273131542927,0.1111902564595609,0.08501103094840398,0.7050507697988995,200,1.0,3.9740550000005896
extra_trees,0.0,none,none,none,200,5,0.019781924830162924,0.1406482308106395,0.08478645553061247,0.583377827643474,200,1.0,3.9239750999986427
extra_trees,0.0,none,none,none,300,1,0.01052165790032927,0.10257513295301776,0.07545395881379896,0.7326778803051044,300,1.0,4.2943580000010115
extra_trees,0.0,none,none,none,300,2,0.009498519236521301,0.09746034699569513,0.07498893122977435,0.7878465203615785,300,1.0,4.324998199999754
extra_trees,0.0,none,none,none,300,3,0.010231304457972452,0.10114991081544487,0.08043009586918148,0.7698294555620259,300,1.0,4.439905400000498
extra_trees,0.0,none,none,none,300,4,0.011373088788560465,0.1066446847646917,0.0816082306423662,0.7286734873925707,300,1.0,4.4041938000009395
extra_trees,0.0,none,none,none,300,5,0.0191514074487178,0.13838861025647234,0.08470221349159046,0.5966569965525418,300,1.0,4.361353100000997
extra_trees,0.0,none,none,none,500,1,0.011514279944054026,0.10730461287406999,0.07916940625811712,0.7074584870024503,500,1.0,5.426740299999437
extra_trees,0.0,none,none,none,500,2,0.010481090396228632,0.10237719666131043,0.07858132707107313,0.7659003743009623,500,1.0,5.062310700001035
extra_trees,0.0,none,none,none,500,3,0.011066895821383548,0.10519931473818424,0.08294435576622634,0.751031410812792,500,1.0,4.9982791999991605
extra_trees,0.0,none,none,none,500,4,0.010944997837681446,0.10461834369593817,0.08061338747052771,0.7388864055311886,500,1.0,4.889800000000832
extra_trees,0.0,none,none,none,500,5,0.019935525804407404,0.14119322152429062,0.08529812169434434,0.5801428759329994,500,1.0,4.87456580000071
xgb,0.0,none,none,none,50,1,0.013547480375006216,0.11639364404900387,0.08567168499824664,0.6558012810644293,50,1.0,6.415751499998805
xgb,0.0,none,none,none,50,2,0.012555817011619489,0.11205274209772596,0.08415950218828894,0.7195604701755676,50,1.0,6.618386600001031
xgb,0.0,none,none,none,50,3,0.012294465781699328,0.11088041207399676,0.08769333796026779,0.7234151427931833,50,1.0,6.164050800000041
xgb,0.0,none,none,none,50,4,0.018738083589978728,0.1368871198834234,0.10640193472533485,0.5529676266548387,50,1.0,6.4960695000008855
xgb,0.0,none,none,none,50,5,0.022830082681202412,0.15109626958069616,0.09675957635082845,0.5191813373378735,50,1.0,6.970528800000466
xgb,0.0,none,none,none,100,1,0.011507444816273341,0.10727275896644656,0.07932377159296013,0.7076321460269146,100,1.0,6.772619399998803
xgb,0.0,none,none,none,100,2,0.011369255042541012,0.10662670886105888,0.08147910989495549,0.7460628379950394,100,1.0,7.695546900000409
xgb,0.0,none,none,none,100,3,0.012011176607415314,0.10959551362813769,0.08479328205495149,0.7297882131818303,100,1.0,7.260454999999638
xgb,0.0,none,none,none,100,4,0.011813898533848843,0.10869175927294969,0.0834750601140165,0.718157138392221,100,1.0,7.14696720000029
xgb,0.0,none,none,none,100,5,0.02237566271955707,0.14958496822728234,0.09118948411336458,0.5287517625218869,100,1.0,7.103201900001295
xgb,0.0,none,none,none,200,1,0.011075224810478231,0.10523889400064138,0.0791997604581695,0.7186134922385294,200,1.0,7.689890100000412
xgb,0.0,none,none,none,200,2,0.010351347804000845,0.10174157362652125,0.07750491099917864,0.7687982304523295,200,1.0,7.285161499999958
xgb,0.0,none,none,none,200,3,0.012051937338700146,0.10978131598181973,0.08436031244212322,0.7288712314078972,200,1.0,6.630331899999874
xgb,0.0,none,none,none,200,4,0.011654534850062362,0.10795617096795515,0.0828378721832842,0.7219590600479766,200,1.0,6.723524799999723
xgb,0.0,none,none,none,200,5,0.022467835854687347,0.14989274783887094,0.08802382433367792,0.5268105271708996,200,1.0,6.731976299999587
xgb,0.0,none,none,none,300,1,0.011012370654420784,0.10493984302647295,0.07859291755966759,0.7202104179690634,300,1.0,7.023386599999867
xgb,0.0,none,none,none,300,2,0.010625098755026974,0.10307811967157227,0.08021448908764302,0.7626838861668312,300,1.0,7.245923500000572
