validation_scheme,fold,model,mse,rmse,mae,r2,n_train,n_valid,n_features,fit_predict_sec
random_cv,3,XGBoost,0.008905521812653418,0.09436907233121145,0.07165980662270369,0.7776642942364698,512,128,777,2.1571635999935097
random_cv,3,XGB-Recency,0.009058992835641313,0.09517874151112377,0.07310984268716689,0.7738327289528069,512,128,777,2.1306695000021136
random_cv,3,MLP-Ensemble,0.01403623701181294,0.1184746260252082,0.09466310042232357,0.6495706003603869,512,128,777,1.100777100000414
random_cv,4,Dummy,0.04675334592012538,0.216225220360913,0.1692564207052427,-0.0005359990917181978,512,128,684,0.001714000005449634
random_cv,4,Ridge,0.025888674819325226,0.16089957992277426,0.10732603473031826,0.4459743871643592,512,128,684,0.09306379999907222
random_cv,4,ExtraTrees,0.020280889474066113,0.14241098789793613,0.10924923922690366,0.5659827203154526,512,128,684,0.2906282999974792
random_cv,4,XGBoost,0.012558818710701056,0.11206613543216816,0.08838683555907868,0.731237412449788,512,128,684,2.0562742999973125
random_cv,4,XGB-Recency,0.012611920260809373,0.112302806112801,0.08781246234825543,0.730101022926315,512,128,684,2.0699611000018194
random_cv,4,MLP-Ensemble,0.018517226932390093,0.13607801781474513,0.10705549013056215,0.6037256417784674,512,128,684,1.844284200000402
random_cv,5,Dummy,0.04381955668133745,0.20933121286931256,0.16971231313970603,-0.0020462459794823307,512,128,725,0.00225240000145277
random_cv,5,Ridge,0.016254903772211483,0.12749472056603553,0.09985351395560375,0.6282900481592664,512,128,725,0.1075120000023162
random_cv,5,ExtraTrees,0.016243472210973605,0.12744988117285008,0.0992993545618408,0.628551460046826,512,128,725,0.2892089000015403
random_cv,5,XGBoost,0.011856849313441315,0.10888916067929495,0.08444434255709041,0.7288628127828964,512,128,725,2.404737099997874
random_cv,5,XGB-Recency,0.012065569024416831,0.10984338407212713,0.08679377854524128,0.7240899027243606,512,128,725,2.1978288000027533
random_cv,5,MLP-Ensemble,0.015822699937478243,0.1257883139940998,0.09454508771472289,0.6381734943392874,512,128,725,3.005939299997408
rolling_cv,1,Dummy,0.024978899877528268,0.1580471444776155,0.1240001921533804,-0.04681615500916081,320,80,730,0.002246299998660106
rolling_cv,1,Ridge,0.037825975244267576,0.19448901060025878,0.14079629615300876,-0.5852116049473557,320,80,730,0.04712869999639224
rolling_cv,1,ExtraTrees,0.01914233432417245,0.1383558250460473,0.11201495201421727,0.1977827320907235,320,80,730,0.2280412999971304
rolling_cv,1,XGBoost,0.015417033686499614,0.12416534817129783,0.10153114301667832,0.3539026936944024,320,80,730,1.9040076000019326
rolling_cv,1,XGB-Recency,0.017089994473928432,0.13072870562324265,0.10503037480421976,0.283792224956232,320,80,730,1.7731790999969235
rolling_cv,1,MLP-Ensemble,0.04851890343640362,0.22027006931583695,0.1667860900592354,-1.0333310189632998,320,80,730,1.0252680999983568
rolling_cv,2,Dummy,0.058379140488822236,0.24161775698160562,0.18144404049670945,-0.162067100057238,400,80,744,0.0021246000032988377
rolling_cv,2,Ridge,0.07091766863697754,0.2663037150266168,0.21586062815946877,-0.4116530124586497,400,80,744,0.06842210000468185
rolling_cv,2,ExtraTrees,0.050199116607008556,0.2240515936274691,0.17864217590946502,0.0007605221232945825,400,80,744,0.2330147999964538
rolling_cv,2,XGBoost,0.04697236850429406,0.2167310972248654,0.1790518544348207,0.0649906183347072,400,80,744,1.944131299998844
rolling_cv,2,XGB-Recency,0.045048685320219335,0.21224675573543952,0.1731586916106726,0.10328253082996919,400,80,744,1.8972260000009555
rolling_cv,2,MLP-Ensemble,0.05802901858917571,0.2408921306086517,0.19420266366468675,-0.15509774187241376,400,80,744,2.660772099996393
rolling_cv,3,Dummy,0.04443039197359825,0.21078517968205984,0.16960438047816187,-0.15535388523974625,480,80,772,0.001987399999052286
rolling_cv,3,Ridge,0.04725303119338237,0.21737762348821088,0.15793652305736966,-0.2287529043423806,480,80,772,0.08204099999420578
rolling_cv,3,ExtraTrees,0.02946253304216573,0.17164653518835074,0.13947125680632314,0.23386559273440877,480,80,772,0.23531029999867314
rolling_cv,3,XGBoost,0.025377492707813178,0.1593031471999633,0.12953228654906454,0.34009169185277455,480,80,772,2.1826020999942557
rolling_cv,3,XGB-Recency,0.02411806303939492,0.1552999131982852,0.1252994111892726,0.3728415033209671,480,80,772,2.162687800002459
rolling_cv,3,MLP-Ensemble,0.03693073561957853,0.19217371209293566,0.15233685255386004,0.039664810785453586,480,80,772,1.9717711999983294
rolling_cv,4,Dummy,0.036641975124810475,0.19142093700745086,0.15642626645360455,-0.8443380605278012,560,80,777,0.002007800001592841
rolling_cv,4,Ridge,0.014499469225966326,0.1204137418485379,0.09817393485614605,0.2701833659399495,560,80,777,0.11178110000037123
rolling_cv,4,ExtraTrees,0.018874782939403555,0.1373855266736768,0.10949282481077212,0.04995621986076426,560,80,777,0.23704449999786448
rolling_cv,4,XGBoost,0.013917375187817545,0.11797192542218486,0.09102848020900481,0.2994825013088067,560,80,777,2.3387899000008474
rolling_cv,4,XGB-Recency,0.016573156988539506,0.12873677403344977,0.09832410803380569,0.16580631603646856,560,80,777,2.2549823000008473
rolling_cv,4,MLP-Ensemble,0.01915505490896589,0.13840178795436817,0.11044148899715844,0.03584900377860234,560,80,777,2.498735900000611
