feature,operation,selected_folds,mean_stable_score,std_stable_score,mean_importance,mean_abs_correlation,mean_temporal_drift,selection_rate
311X203,311,5,0.9858548832515888,0.006475913746211167,0.006145500163205296,0.4314236767016116,0.04123674864287153,1.0
311X152,311,5,0.9850897974780283,0.002314158920522097,0.00279653879600968,0.34416653859012913,0.0,1.0
311X88,311,5,0.9840327215644322,0.008373016358127304,0.0054729126267970725,0.47917008762091606,0.049523809523809456,1.0
311X133,311,5,0.9837905999235765,0.0033370645629364434,0.002559879786242181,0.34570639814755777,0.0,1.0
210X193,210,5,0.983591899121131,0.004169506814222372,0.0029132523105532735,0.30392198863087466,0.0,1.0
311X87,311,5,0.9834716304783381,0.007757231294694014,0.005065903697245857,0.4697390105944409,0.04505494505494518,1.0
311X207,311,5,0.9828671896217486,0.010086849568423803,0.005559699888059198,0.43145004013734234,0.05073817486861039,1.0
311X188,311,5,0.9828219652511725,0.003883570943083888,0.0043002194781530554,0.3775459225452094,0.03288420735119647,1.0
311X192,311,5,0.9822086358425677,0.014144898244351067,0.00303160058902579,0.4036303923681467,0.0,1.0
311X189,311,5,0.980299510710241,0.013127803517718691,0.0035020140320403638,0.49396906008579033,0.027188953052347798,1.0
311X205,311,5,0.9802117698582784,0.007391171415604234,0.005106785488746289,0.43186139510350524,0.05872973763677021,1.0
311X155,311,5,0.9797936568589988,0.0061756763298796095,0.0024730656450981697,0.2997219906642654,0.0,1.0
344X71,344,5,0.977890714558655,0.010057721134814844,0.002424275775716305,0.27162914066918675,0.0,1.0
344X53,344,5,0.9755292319449751,0.004235003824099464,0.00197945249545622,0.2715055175386204,0.0,1.0
311X69,311,5,0.9752311807413067,0.013267477221693398,0.002053107670159629,0.39655725619343934,0.0,1.0
311X134,311,5,0.9751700420328622,0.012683933837588599,0.0020359903283822976,0.328739728708675,0.0,1.0
311X70,311,5,0.9742147497134124,0.0031858562022832287,0.0016627953287423635,0.3322890839515405,0.0,1.0
311X151,311,5,0.9728162017577379,0.012032363922268228,0.001922864072671351,0.2982351530033738,0.0,1.0
311X25,311,5,0.9723571343779271,0.00857059503869964,0.00809117694421729,0.4925151260003062,0.11424770478314354,1.0
311X26,311,5,0.9718171303916838,0.009345003847247913,0.0075895849816560845,0.49213448423556966,0.11410741625729177,1.0
