strategy,stratifier,level,n,covered,coverage,mean_width,wilson_low,wilson_high,small_group
fixed,Chamber,5.0,9,7,0.7777777777777778,0.5140797581591263,0.45258896910698887,0.9367748928821533,True
fixed,Chamber,__MISSING__,3,3,1.0,0.5140797581591263,0.4385029682449546,1.0,True
fixed,TOOL (#3),A,100,87,0.87,0.5140797581591263,0.7901964855992357,0.9224283257275948,False
rolling80_immediate_labels,overall,all,100,92,0.92,0.5529831478126888,0.8500189229905127,0.9589065385156194,False
rolling80_immediate_labels,predicted_tercile,lower_predicted,36,32,0.8888888888888888,0.5463770390754716,0.7468519140963513,0.9559335969968435,False
rolling80_immediate_labels,predicted_tercile,middle_predicted,31,30,0.967741935483871,0.5541368132098741,0.838058948352751,0.9942827784745831,False
rolling80_immediate_labels,predicted_tercile,upper_predicted,33,30,0.9090909090909091,0.5591060656074482,0.7642739435353026,0.9685960584754184,False
rolling80_immediate_labels,TOOL,J,43,40,0.9302325581395349,0.5594236345427005,0.8139101309875801,0.9759884104227855,False
rolling80_immediate_labels,TOOL,M,11,11,1.0,0.5484398207743195,0.7411670330319684,1.0,True
rolling80_immediate_labels,TOOL,N,14,13,0.9285714285714286,0.5481230115312734,0.6853129557584889,0.9872777847521093,True
rolling80_immediate_labels,TOOL,O,16,13,0.8125,0.5453487466944247,0.5699111903802586,0.9340840092857187,True
rolling80_immediate_labels,TOOL,L,16,15,0.9375,0.5506848974291634,0.7167126242970107,0.9888806552353576,True
rolling80_immediate_labels,Tool,B,100,92,0.92,0.5529831478126888,0.8500189229905127,0.9589065385156194,False
rolling80_immediate_labels,TOOL_ID,E,75,70,0.9333333333333333,0.5503613681593632,0.8532493994143954,0.9711899371005063,False
rolling80_immediate_labels,TOOL_ID,N,25,22,0.88,0.560848486772666,0.7004420607907267,0.9583318284955964,False
rolling80_immediate_labels,Tool (#1),B,100,92,0.92,0.5529831478126888,0.8500189229905127,0.9589065385156194,False
rolling80_immediate_labels,TOOL (#1),V,45,40,0.8888888888888888,0.5537445416436244,0.7650090300423141,0.9515952820543282,False
rolling80_immediate_labels,TOOL (#1),K,44,41,0.9318181818181818,0.5573928211664526,0.8177495562977846,0.9765406040926183,False
rolling80_immediate_labels,TOOL (#1),T,11,11,1.0,0.5322296614528961,0.7411670330319684,1.0,True
rolling80_immediate_labels,Chamber ID,2,44,41,0.9318181818181818,0.5566054851702673,0.8177495562977846,0.9765406040926183,False
rolling80_immediate_labels,Chamber ID,1,13,12,0.9230769230769231,0.5410552932010507,0.6668604907890041,0.9862895787574435,True
rolling80_immediate_labels,Chamber ID,3,43,39,0.9069767441860465,0.5528826656317081,0.783972963587464,0.9632283593682872,False
rolling80_immediate_labels,TOOL (#2),B,84,78,0.9285714285714286,0.5561227984867712,0.8528043284375555,0.9668541900641647,False
rolling80_immediate_labels,TOOL (#2),C,12,11,0.9166666666666666,0.5350006026272635,0.646120088858883,0.9851349055950829,True
rolling80_immediate_labels,TOOL (#2),A,4,3,0.75,0.5409981192132323,0.30064184258240184,0.9544127391902995,True
rolling80_immediate_labels,Tool (#2),V,96,89,0.9270833333333334,0.5534825240043327,0.8570696833485983,0.9642324186896375,False
rolling80_immediate_labels,Tool (#2),W,4,3,0.75,0.5409981192132323,0.30064184258240184,0.9544127391902995,True
rolling80_immediate_labels,Tool (#3),R,80,73,0.9125,0.5564543455440791,0.8302320449152499,0.9569679982179401,False
rolling80_immediate_labels,Tool (#3),Q,20,19,0.95,0.5390983568871277,0.763868806553258,0.9911185511992047,False
rolling80_immediate_labels,Tool (#4),E,40,35,0.875,0.5553834135886545,0.738878801611489,0.945404997490546,False
rolling80_immediate_labels,Tool (#4),C,60,57,0.95,0.5513829706287117,0.8629948352365147,0.9828504978356043,False
rolling80_immediate_labels,OPERATION_ID,XY1,59,55,0.9322033898305084,0.5566565146226325,0.838244756312555,0.9733213810286956,False
rolling80_immediate_labels,OPERATION_ID,XY2,41,37,0.9024390243902439,0.5476970833788672,0.7745231869447662,0.9614029151019106,False
rolling80_immediate_labels,Tool (#5),14,100,92,0.92,0.5529831478126888,0.8500189229905127,0.9589065385156194,False
rolling80_immediate_labels,Chamber,4.0,14,11,0.7857142857142857,0.5468648222588368,0.524107694133997,0.9242861328730683,True
rolling80_immediate_labels,Chamber,3.0,26,24,0.9230769230769231,0.5523901704610362,0.7585844622837095,0.9786449115277238,False
rolling80_immediate_labels,Chamber,2.0,23,22,0.9565217391304348,0.5560917154077053,0.7900884492974114,0.9922833338565469,False
rolling80_immediate_labels,Chamber,1.0,25,23,0.92,0.5552352252436102,0.7503389104960468,0.9777795987151524,False
rolling80_immediate_labels,Chamber,5.0,9,9,1.0,0.5550120809539437,0.7008549515804559,1.0,True
rolling80_immediate_labels,Chamber,__MISSING__,3,3,1.0,0.5379880078684129,0.4385029682449546,1.0,True
rolling80_immediate_labels,TOOL (#3),A,100,92,0.92,0.5529831478126888,0.8500189229905127,0.9589065385156194,False
