config_id,model,params,mse,rmse,mae,r2,mse_std,features_mean
7,XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 800}",0.01227433820337872,0.11078961234420273,0.07991864978379776,0.721090451206527,0.005379318616872144,497.8
5,XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 800}",0.012290674422431728,0.11086331414147661,0.08013818700275603,0.7207192436180142,0.0052671263966105625,497.8
1,XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 800}",0.012403596739713781,0.11137143592373128,0.08174640272699542,0.7181533119938407,0.005171993326668799,497.8
3,XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 800}",0.01256106699388395,0.11207616603847559,0.08253586363021949,0.7145751184642779,0.005234760898084255,497.8
17,RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.015700204975517888,0.1253004588001093,0.09177068917593513,0.6432445470272803,0.005694734272682849,497.8
18,RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",0.015806309979859164,0.12572314814646968,0.09208183985113644,0.6408335250727598,0.005788136146669395,497.8
26,ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",0.01580855322693581,0.1257320692064511,0.09102234115054714,0.6407825518129708,0.005435647682212982,497.8
25,ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.015943843220924556,0.12626893212870915,0.09129181874562128,0.6377083599050692,0.005470423839984595,497.8
19,RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",0.016016901118084844,0.12655789630870468,0.0928671352014743,0.6360482667256939,0.005837995721493495,497.8
20,RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",0.0160216767332272,0.12657676221655853,0.09304801841747366,0.635939750515492,0.005842036496139509,497.8
28,ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",0.0162006976009069,0.12728196101925401,0.09304961542527222,0.6318718628133742,0.005327465227298007,497.8
27,ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",0.016278117042430075,0.1275857242893188,0.09343105500410394,0.6301126623460831,0.005206518764303046,497.8
23,RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",0.01672153757131665,0.1293117843482049,0.09578148256817787,0.6200368262734325,0.0057052034000600075,497.8
21,RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.01677310808853628,0.1295110346207468,0.09590685314472921,0.6188649904114538,0.005477156503672915,497.8
