model,params,fold,mse,rmse,mae,r2,n_features,time_sec,config_id
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1200}",2,0.007730571596554689,0.08792366914861259,0.06870943301910795,0.827334385185319,499,7.226930299999367,8
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1200}",3,0.009860348123188516,0.09929928561267959,0.07665371679598026,0.7781747473956006,499,6.970584099999542,8
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1200}",4,0.010915349828114596,0.10447655157074527,0.0814531839811202,0.7395937147935252,499,7.504910099996778,8
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1200}",5,0.021295071458224325,0.14592830931051154,0.08865334160160346,0.5515098248738113,499,7.283667800002149,8
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 800}",1,0.010938459028062392,0.10458708824736633,0.0817263750008702,0.7220882791213066,493,6.9303008999995654,9
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 800}",2,0.0079441482683491,0.08912995157829437,0.07029451297405084,0.8225640590994846,499,6.647780100000091,9
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 800}",3,0.010112178565760365,0.10055932858646364,0.07936164921287,0.7725093945257959,499,6.553979200001777,9
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 800}",4,0.010755649895630765,0.1037094494037586,0.08161746483724899,0.7434036582970054,499,6.564849800000957,9
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 800}",5,0.02072435200170938,0.14395954988019857,0.08689736147365536,0.5635296046384598,499,6.6066050000008545,9
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 1200}",1,0.010556647293794437,0.1027455463453012,0.08018690839358437,0.7317889102476712,493,7.065068199997768,10
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 1200}",2,0.00799209457190132,0.08939851549047848,0.07034122444969737,0.8214931579536204,499,7.113475499998458,10
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 1200}",3,0.009710833987314671,0.09854356390609521,0.07723749154928011,0.7815383214341427,499,7.128029299998161,10
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 1200}",4,0.010726774649959733,0.10357014362237668,0.08097270408226578,0.7440925318171422,499,7.083319400000619,10
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 1200}",5,0.020538166151567346,0.14331143063819907,0.086324686454778,0.5674508182723297,499,6.993135199998505,10
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 800}",1,0.01084513394490787,0.10413997284860348,0.08136525231521911,0.7244593749396556,493,6.577551300000778,11
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 800}",2,0.008058412644944241,0.08976866181994829,0.07089105993059541,0.8200119154979676,499,6.423221199998807,11
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 800}",3,0.01073411653541864,0.1036055815842884,0.08105082511694031,0.7585178451910143,499,6.461865099998249,11
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 800}",4,0.010929648148312186,0.10454495754608246,0.08198605199054766,0.7392526013609757,499,6.509273100000428,11
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 800}",5,0.02061052259576509,0.1435636534634205,0.08741282499216799,0.5659269372938875,499,6.5895253000016965,11
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 1200}",1,0.010712687287560436,0.10350211247873367,0.08098495358185429,0.727824426486096,493,7.082708800000546,12
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 1200}",2,0.00810614046909324,0.09003410725438021,0.07153833099442919,0.8189458941827874,499,7.236010700002225,12
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 1200}",3,0.010283589159415333,0.10140803301225862,0.07847972592680894,0.7686532225365774,499,7.20633970000199,12
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 1200}",4,0.010912879598742604,0.10446472896984228,0.08117073613212519,0.7396526467805433,499,7.045369800001936,12
XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 1200}",5,0.020486363948643414,0.14313058355447103,0.08635697425466879,0.568541811514914,499,7.113283099999535,12
XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 800}",1,0.01075423791840929,0.1037026418101742,0.0786784256799957,0.726768756094757,493,6.967124099999637,13
