feature,mean_importance,std_importance,min_importance,max_importance,selected_folds,stability,importance_cv
210X149,0.0008434236877116861,0.0002631650292217292,0.0005914273557123289,0.0011371587867208318,5,1.0,0.3120199642764467
344X103,0.0008368330420114182,0.0002147897309213332,0.000652130506351224,0.0012058134211673421,5,1.0,0.2566697535608695
210X162,0.0008348837867920642,5.661453442784261e-05,0.0007470371657769673,0.0009052909115309369,5,1.0,0.06781127536032955
344X83,0.0008298864709828732,0.00015198167365737593,0.0006957491871754805,0.0010740483429905415,5,1.0,0.1831354995994108
210X213,0.0008294338711994427,0.00013008247878877537,0.0006891265811373397,0.0010037786082699534,5,1.0,0.15683285087433252
344X87,0.0008209726140151342,0.00028895379030372903,0.0006113380437346636,0.0013245032585282675,5,1.0,0.3519651995924399
210X34,0.0008110875677484801,0.00011143955611541336,0.0006530544643838249,0.0009343651534644057,5,1.0,0.13739522143998115
311X212,0.0008004552886825434,0.00015234032349943462,0.000609094994405921,0.0010008000071599359,5,1.0,0.19031709261344507
210X166,0.0007497128523483805,0.00011066005997711654,0.0006095256846980791,0.000866061969892678,5,1.0,0.14760325834469112
420X93,0.0007212982325552597,7.434947001718288e-05,0.0005953136913471835,0.0007860371822157779,5,1.0,0.10307729391033767
344X48,0.0007185090551486927,0.00014525880096604807,0.0005941213387028917,0.0009516965550768436,5,1.0,0.2021669730158381
210X121,0.0007032465524281512,5.376591636880256e-05,0.0006218317246587415,0.0007655799811586455,5,1.0,0.07645386402067263
210X81,0.0006590675703964365,6.584742974345472e-05,0.0005811315058874487,0.0007501981357374907,5,1.0,0.09990998283216511
311X22,0.001624800261319334,0.0005369573338334457,0.0011799591477057352,0.0024023299799438022,4,0.8,0.330475902968505
311X92,0.0014441763422740688,0.0002702565461397501,0.001086842589297227,0.0017113144291865333,4,0.8,0.18713541971408829
311X134,0.0013360086156034932,0.00020492312027663458,0.0010341724490919185,0.0014648929269699782,4,0.8,0.15338457980728173
400X60,0.001173950200611537,0.00025980579128867624,0.0009492466243703793,0.0015386534096140877,4,0.8,0.22130903928635862
300X2,0.0011536393984611247,0.00016671198565852788,0.000953261419761493,0.0012960351263230445,4,0.8,0.14450961516779035
220X71,0.0011010346714240974,0.00021844345208754917,0.0008667470673063016,0.0013911612207746526,4,0.8,0.19839834072310572
420X188,0.0010998907786308979,0.00048169221970014993,0.0006546186994823651,0.0016700231157856132,4,0.8,0.4379455020632108
300X14,0.0010782633799049917,0.00037506534396044986,0.0006379642006356534,0.0014978279535217882,4,0.8,0.3478420491713775
300X4,0.0010726247051447385,0.0002913733622636536,0.0007595479520408996,0.00144185659259501,4,0.8,0.27164520879900006
420X98,0.0010343729168391497,0.00041320480766316716,0.000663716388854228,0.00161283565552143,4,0.8,0.3994737299642087
420X97,0.001032240633879024,0.00013018606757978757,0.0008396874167749317,0.0011183516599701268,4,0.8,0.12611988249720962
311X136,0.0010139406094117414,0.00027229404756835205,0.0006566370179732887,0.001258712639086087,4,0.8,0.2685502925637615
420X38,0.0010053983056434873,0.00025844430023312686,0.0008389975129843765,0.0013908248968473795,4,0.8,0.25705662972115073
311X76,0.0009703226066507955,0.0003001293562988681,0.0006296104909385671,0.001347074799228232,4,0.8,0.3093088359813628
210X157,0.000965422348256138,0.00023574114598654222,0.0006843501859414792,0.0012588984985924638,4,0.8,0.24418447135409885
420X115,0.0009633317185721212,0.0001602148829194216,0.0008280108668085864,0.0011874602057484402,4,0.8,0.16631330585749168
220X75,0.0009494314426841273,0.0003419964331907574,0.0005872735787042248,0.0013902817877613329,4,0.8,0.3602118251568446
210X16,0.0009200467609099792,0.00012153757349913605,0.0007704607618154407,0.001055920277925638,4,0.8,0.13209934378425403
344X119,0.0009155371665631603,7.503544627684117e-05,0.0008055403334353271,0.0009740949137021332,4,0.8,0.08195783736072593
ERROR:#N/A_14,0.0009059516981095153,0.00027168694636854797,0.0006349720645722495,0.0012775477386798915,4,0.8,0.29989120461454677
520X345,0.0009034796881140963,0.0002735631966088073,0.0005866398186575663,0.0011583190883672698,4,0.8,0.3027884300056028
210X94,0.0009022607847734763,0.0002500904709512619,0.0006760623523049375,0.0012511657644368435,4,0.8,0.2771820241936683
520X248,0.0008938925688172583,0.00022947844337587058,0.0006976660157934686,0.0012256999241109013,4,0.8,0.25671814614454586
400X218,0.0008786517779402392,8.499872273934042e-05,0.0007812947805815891,0.0009849295998040008,4,0.8,0.09673766647563067
400X170,0.0008752456442823571,0.00010009031470774662,0.0007724106739765565,0.0010060784475368339,4,0.8,0.11435682684882957
210X168,0.0008674291679875829,4.762446732024862e-05,0.0008110459192907906,0.0009275012799298936,4,0.8,0.0549030042139733
520X21,0.0008671542456557845,8.055281419225101e-05,0.0007972674393972759,0.0009470538066178154,4,0.8,0.09289329378585898
340X13,0.0008588431282881745,0.0003141582373781554,0.0006324066597354088,0.0013187013519944141,4,0.8,0.365792339328063
210X120,0.0008497737170325916,0.00018433360035952423,0.0006441729801298133,0.0010518387702047605,4,0.8,0.21692080661931515
420X197,0.0008443949502105763,0.0001735879410691017,0.0006206908802527344,0.0010376784873871508,4,0.8,0.20557671599082325
330X1127,0.0008394327172193351,0.0001435207660225298,0.0006392963450324448,0.0009711302215104327,4,0.8,0.1709735192678412
400X59,0.0008231722358131555,0.0003366656482395002,0.0006132557426956953,0.0013210752450788016,4,0.8,0.4089856693210086
330X1168,0.0007902814030620038,0.00016976685762038504,0.0006427099310610002,0.0009590125457968798,4,0.8,0.21481823657724014
344X71,0.0007863986927481288,0.00018352672620370746,0.0006298194178991977,0.0010352580453775872,4,0.8,0.23337618394174012
400X167,0.000786106121528859,4.296156002532136e-05,0.0007486298908988658,0.0008433545007438181,4,0.8,0.05465109454575478
210X144,0.0007760297187810251,0.0002154844808107204,0.0005820983977380265,0.0010687069900444921,4,0.8,0.2776755520027305
210X167,0.000775879780725463,0.00011223574254404039,0.0006144916924598917,0.0008747756955543285,4,0.8,0.1446560990343654
210X82,0.0007730258931578971,0.00024343007185866455,0.0005966115505067431,0.0011263343273281365,4,0.8,0.31490545620576826
210X133,0.0007709060665434948,0.00011975404282041498,0.0006066158016201334,0.0008685317265102209,4,0.8,0.15534193835315535
344X78,0.0007703598426895497,5.6196907075168424e-05,0.0007068215309997806,0.0008281578751447971,4,0.8,0.07294890502861599
344X225,0.0007696242281328216,0.00013371489419434924,0.0006333262047770808,0.0009410676950924046,4,0.8,0.17374049455929064
ERROR:#N/A_8,0.0007682938356322615,8.563471714414177e-05,0.0006746799889040096,0.0008801073799186075,4,0.8,0.11146089303477029
